source,author,title,description,url,publishedAt,content,Negative,Nuetral,Positive,Date,Stock Price
Business Insider,Matthew Fox,'Another flex the muscles moment': Here's what Wall Street expects from Apple's upcoming earnings report,"""We view AAPL as a long-term earnings & free cash flow compounder with strong visibility into that growth that supports a premium valuation.""",https://markets.businessinsider.com/news/stocks/apple-earnings-preview-wall-street-expectations-aapl-q3-report-iphone-2023-8,2023-08-02 17:11:44+00:00,"Apple CEO Tim Cook stands next to the new Apple Vision Pro headset is displayed during the Apple Worldwide Developers Conference on June 05, 2023 in Cupertino, California.Justin Sullivan/Getty Images… [+3989 chars]",0.0,0.939,0.061,2023-07-31 04:00:00+00:00,195.02427500593174
Business Insider,Emily Swaim,Inside one of the strangest looking NASA test sites where sound goes to die,"NASA's Auero-Acoustic Propulsion Lab is an anechoic chamber — a room without echoes. Its spiky, fiberglass wedges absorb sound.",https://www.businessinsider.com/inside-nasa-aero-acoustic-propulsion-lab-that-kills-sound-2023-5,2023-05-15 15:33:58+00:00,"Distant view of the Nozzle Acoustic Test Rig (NATR).Glenn Research Center
<ul>
<li>NASA's Aero-Acoustic Propulsion Lab is basically a graveyard for sound.</li>
<li>Every surface inside is covered wi… [+4894 chars]",0.121,0.879,0.0,2023-05-15 04:00:00+00:00,172.24526072582623
CNN,Diksha Madhok,Apple expects iPhone 14 shipments to be hit by China's Covid curbs,"Apple has said that shipments of its latest lineup of iPhones will be ""temporarily impacted"" by Covid restrictions in China.",https://www.cnn.com/2022/11/06/business/china-covid-iphone-14-shipments-hit-hnk-intl/index.html,2022-11-07 04:36:25+00:00,"Apple has said that shipments of its latest lineup of iPhones will be temporarily impacted by Covid restrictions in China.
In a statement on Sunday, the company said that its assembly facility locat… [+1626 chars]",0.0,1.0,0.0,2022-10-31 04:00:00+00:00,151.65695741711656
CNN,Reuters,Instagram fined $400 million for failing to protect children's data,"Ireland's data privacy regulator has agreed to levy a record fine of 405 million euros ($402 million) against social network Instagram following an investigation into its handling of children's data, a spokesperson for the watchdog said.",https://www.cnn.com/2022/09/06/tech/instagram-fine-teens-privacy/index.html,2022-09-06 08:55:04+00:00,DublinIreland's data privacy regulator has agreed to levy a record fine of 405 million euros ($402 million) against social network Instagram following an investigation into its handling of children's… [+1523 chars],0.0,0.878,0.122,2022-09-05 04:00:00+00:00,154.93446087866755
Entrepreneur,Sam Quirke,Apple’s Stock Could Be On The Verge Of Another 30% Rally,"It's been a good summer for equities in general after a torrid first half of the year, but Apple (NASDAQ: AAPL) is having a particularly sunny couple of months.",https://www.entrepreneur.com/article/433760,2022-08-19 12:00:00+00:00,"While it's been a good summer for equities in general after a torrid first half of the year, tech titan Apple (NASDAQ: AAPL) is having a particularly sunny couple of months. Since the start of June t… [+3735 chars]",0.0,0.85,0.15,2022-08-15 04:00:00+00:00,169.8367462158203
Entrepreneur,Komal Bhattar,3 Buffett Stocks to Buy on the Dip,Warren Buffett’s strategic investment decisions have been a guide for retail inventors for decades. And we think investors should consider buying the dip in these fundamentally solid stocks from his...,https://www.entrepreneur.com/article/429495,2022-06-14 15:31:34+00:00,Warren Buffett's strategic investment decisions have been a guide for retail inventors for decades. And we think investors should consider buying the dip in these fundamentally solid stocks from his … [+6466 chars],0.0,0.949,0.051,2022-06-13 04:00:00+00:00,131.3835534284691
CNN,Samantha Murphy Kelly,Apple set to unveil new features for its most popular devices,Apple is set to kick off its annual developer conference on Monday where it will show off new features coming to its most popular devices. But Apple could also tease a new product long rumored to be in development.,https://www.cnn.com/2022/06/06/tech/apple-wwdc-2022/index.html,2022-06-06 12:08:18+00:00,"Apple
(AAPL) is set to kick off its annual developer conference on Monday where it will show off new features coming to its most popular devices. But Apple
(AAPL) could also tease a new productlong… [+932 chars]",0.076,0.872,0.052,2022-06-06 04:00:00+00:00,145.3851583464924
CNN,Catherine Thorbecke,Apple is discontinuing its last iPod model,"Apple said Tuesday it would discontinue production of the last iPod model it still sells, effectively bringing an end to the iconic product line that helped usher in a new era for the music industry and the tech giant.",https://www.cnn.com/2022/05/10/tech/apple-ipod-end-of-an-era/index.html,2022-05-10 19:26:30+00:00,"Apple said Tuesday it would discontinue production of the last iPod model it still sells, effectively bringing an end to the iconic product line that helped usher in a new era for the music industry … [+1391 chars]",0.0,0.923,0.077,2022-05-09 04:00:00+00:00,153.19677282028633
MarketBeat,Sam Quirke,Apple’s Numbers Complete Trifecta,You could almost hear the collective sigh of relief after Apple (NASDAQ: AAPL) released their latest earnings report at the end of yesterday’s session.,https://www.marketbeat.com/originals/apples-nasdaq-aapl-numbers-complete-trifecta/,2022-04-29 10:05:00+00:00,You could almost hear the collective sigh of relief after Apple (NASDAQ: AAPL) released its latest earnings report at the end of yesterdays session. Investors have already found solace this week with… [+4042 chars],0.0,0.884,0.116,2022-04-25 04:00:00+00:00,159.08380204607647
StockNews.com,Subhasree Kar,Is Apple Stock a Buy at $175?,"Shares of technology giant Apple (AAPL) have been gaining in price lately, fueled by news that indicates impressive demand for its iPhone 13 globally. However, the EU is outlining new...",https://stocknews.com/news/aapl-alot-lnvgy-ttdky-is-apple-stock-a-buy-at-175/,2022-03-28 12:37:54+00:00,"Shares of technology giant Apple (AAPL) have been gaining in price lately, fueled by news that indicates impressive demand for its iPhone 13 globally. However, the EU is outlining new tech regulation… [+6318 chars]",0.038,0.754,0.209,2022-03-28 04:00:00+00:00,169.99413187872364
