source,author,title,description,url,publishedAt,content,Negative,Nuetral,Positive,Date,Stock Price
Techmeme.com,,"Adobe Q2: revenue up 10% YoY to $5.31B, vs. $5.29B est., Digital Media revenue up 11% to $3.91B, Digital Experience revenue up 9%; ADBE jumps 14%+ after hours (Jordan Novet/CNBC)","Jordan Novet / CNBC:
Adobe Q2: revenue up 10% YoY to $5.31B, vs. $5.29B est., Digital Media revenue up 11% to $3.91B, Digital Experience revenue up 9%; ADBE jumps 14%+ after hours  —  Adobe shares jumped 15% in extended trading on Thursday after the design so…",https://www.techmeme.com/240613/p28,2024-06-13 20:35:01+00:00,"About This Page
This is a Techmeme archive page.
It shows how the site appeared at 4:35 PM ET, June 13, 2024.
The most current version of the site as always is available at our home page.
To view… [+177 chars]",0.0,1.0,0.0,2024-06-10 04:00:00+00:00,453.8399963378906
MarketWatch,Joseph Adinolfi,"Druckenmiller dumps Alphabet, Amazon and Broadcom but Nvidia remains largest holding","The chipmaker, which Druckenmiller touted early last year, comprised roughly 16% of his total stock holdings.",https://www.marketwatch.com/story/druckenmiller-dumps-alphabet-amazon-and-broadcom-but-nvidia-remains-largest-holding-81678a19,2024-02-14 22:28:00+00:00,"Duquesne Family Office, the investment vehicle belonging to famed macro investor Stanley Druckenmiller, dumped shares of Alphabet Inc., Amazon.com 
 AMZN,
 +1.39%
and Broadcom Inc. 
 AVGO,
 +0.8… [+2303 chars]",0.087,0.841,0.071,2024-02-12 05:00:00+00:00,626.0
Techmeme.com,,"Adobe reports Q4 revenue up 12% YoY to $5.05B, vs. $5.03B est., Digital Media revenue up 13% YoY to $3.72B, FY 2024 revenue guidance below est.; ADBE drops 6%+ (Jordan Novet/CNBC)","Jordan Novet / CNBC:
Adobe reports Q4 revenue up 12% YoY to $5.05B, vs. $5.03B est., Digital Media revenue up 13% YoY to $3.72B, FY 2024 revenue guidance below est.; ADBE drops 6%+  —  - Adobe's fiscal fourth-quarter results surpassed expectations, but guidan…",https://www.techmeme.com/231213/p38,2023-12-13 22:05:04+00:00,"About This Page
This is a Techmeme archive page.
It shows how the site appeared at 5:05 PM ET, December 13, 2023.
The most current version of the site as always is available at our home page.
To … [+71 chars]",0.0,1.0,0.0,2023-12-11 05:00:00+00:00,616.8800048828125
Uefi.org,,UEFI Software Bill of Materials Proposal,Comments,https://uefi.org/blog/firmware-sbom-proposal,2023-11-13 10:23:28+00:00,"The UEFI SBoM Sub Team has been working on recommendations for what should be included in a firmware SBoM that conforms to the UEFI Standard, and how that data should be included in the firmware imag… [+11478 chars]",0.0,1.0,0.0,2023-11-13 05:00:00+00:00,589.97998046875
CNET,Meara Isenberg,"How to Stream 'The Curse' Starring Emma Stone, Nathan Fielder - CNET",Time to get familiar with Paramount Plus with Showtime.,https://www.cnet.com/tech/services-and-software/how-to-stream-the-curse-starring-emma-stone-nathan-fielder/,2023-11-04 14:00:07+00:00,"Bored with streaming? A new show from A24 and Showtime may be able to lift the curse.
Starring Emma Stone and Nathan Fielder, The Curse is a 10-episode, genre-bending series that follows a couple tr… [+7535 chars]",0.227,0.773,0.0,2023-10-30 04:00:00+00:00,516.1099853515625
Techmeme.com,,"Adobe reports Q2 revenue up 10% YoY to $4.82B, vs. $4.77B est., Digital Media revenue up 10% YoY to $3.51B, and Digital Experience revenue up 12% YoY to $1.22B (Jon Swartz/MarketWatch)","Jon Swartz / MarketWatch:
Adobe reports Q2 revenue up 10% YoY to $4.82B, vs. $4.77B est., Digital Media revenue up 10% YoY to $3.51B, and Digital Experience revenue up 12% YoY to $1.22B  —  Adobe Inc.'s hard push into generative AI is pushing its stock past $…",https://www.techmeme.com/230615/p37,2023-06-15 20:35:14+00:00,"About This Page
This is a Techmeme archive page.
It shows how the site appeared at 4:35 PM ET, June 15, 2023.
The most current version of the site as always is available at our home page.
To view… [+174 chars]",0.0,1.0,0.0,2023-06-12 04:00:00+00:00,463.7099914550781
MarketWatch,Wallace Witkowski,"Earnings Results: Adobe stock rallies 5% as results, outlook top Street views",Adobe shares rallied in the extended session Wednesday after the software company topped Wall Street expectations and hiked its outlook for the year.,https://www.marketwatch.com/story/adobe-stock-rallies-5-as-results-outlook-top-street-views-d6246e5a,2023-03-15 19:27:00+00:00,"Adobe Inc. shares rallied in the extended session Wednesday after the software company topped Wall Street expectations for the quarter and hiked its outlook for the year.Adobe 
 ADBE,
 +0.08%
shar… [+1983 chars]",0.0,0.934,0.066,2023-03-13 04:00:00+00:00,329.4200134277344
StockNews.com,Kritika Sarmah,"Adobe Stock: Buy, Sell or Hold in 2023?","Leading software company Adobe (ADBE) reported stable top- and bottom-line growth in the last reported quarter and has posted robust guidance for the current fiscal year. However, considering the controversies...",https://stocknews.com/news/adbe-prgs-cvlt-ibex-adobe-stock-buy-sell-or-hold-in-2023/,2023-01-24 12:57:43+00:00,"Leading software company Adobe (ADBE) reported stable top- and bottom-line growth in the last reported quarter and has posted robust guidance for the current fiscal year. However, considering the con… [+5343 chars]",0.0,0.757,0.243,2023-01-23 05:00:00+00:00,358.2799987792969
StockNews.com,Mangeet Kaur Bouns,1 High-Quality Stock to Pour Your Money Into in 2023,"Leading software company Adobe (ADBE) reported solid fourth quarter and fiscal 2022 financial results and is well-positioned to achieve sustained growth in the upcoming quarters, driven by solid demand for...",https://stocknews.com/news/adbe-cvlt-egan-prgs-1-high-quality-stock-to-pour-your-money-into-in-2023/,2022-12-28 14:18:44+00:00,"Leading software company Adobe (ADBE) reported solid fourth quarter and fiscal 2022 financial results and is well-positioned to achieve sustained growth in the upcoming quarters, driven by solid dema… [+6313 chars]",0.0,0.828,0.172,2022-12-26 05:00:00+00:00,338.0
Forbes,"Trefis Team, Contributor, 
 Trefis Team, Contributor
 https://www.forbes.com/sites/greatspeculations/people/trefis/","Adobe Stock Gained 2.4% Last Week, What’s Next?","Adobe’s stock (NASDAQ: ADBE) increased 2.4% in the last week, outperforming the S&P 500 (down 2.5%).",https://www.forbes.com/sites/greatspeculations/2022/12/20/adobe-stock-gained-24-last-week-whats-next/,2022-12-20 14:00:14+00:00,"POLAND - 2022/12/02: In this photo illustration an Adobe logo seen displayed on a smartphone. (Photo ... [+] Illustration by Mateusz Slodkowski/SOPA Images/LightRocket via Getty Images)
SOPA Images/… [+3419 chars]",0.0,1.0,0.0,2022-12-19 05:00:00+00:00,338.0
