source,author,title,description,url,publishedAt,content,Negative,Nuetral,Positive,Date,Stock Price
Reuters,,"DOJ probing Visa on U.S. debit card practices, competition - Reuters.com","Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> said on Friday the antitrust division of the U.S. Department of Justice had issued investigative demand earlier this month seeking documents and information about U.S. debit ca…",https://www.reuters.com/business/finance/doj-probing-visa-us-debit-card-practices-competition-2023-01-27/,2023-01-27 22:15:00+00:00,Jan 27 (Reuters) - Visa Inc (V.N) said on Friday the antitrust division of the U.S. Department of Justice had issued investigative demand earlier this month seeking documents and information about U.… [+996 chars],0.042,0.864,0.095,2023-01-23 05:00:00+00:00,222.0048895
Reuters,,"Visa, Mastercard pin hopes on China reopening as travel boom fades - Reuters","Mastercard Inc <a href=""https://www.reuters.com/companies/MA.N"" target=""_blank"">(MA.N)</a> and Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> will rely on China reopening to give travel spending a boost, Wall Street analyst…",https://www.reuters.com/business/finance/visa-mastercard-pin-hopes-china-reopening-travel-boom-fades-2023-01-27/,2023-01-27 18:13:00+00:00,"Jan 27 (Reuters) - Mastercard Inc (MA.N) and Visa Inc (V.N) will rely on China reopening to give travel spending a boost, Wall Street analysts said, as the pace of growth in other parts of the world … [+1829 chars]",0,0.868,0.132,2023-01-23 05:00:00+00:00,222.0048895
StockNews.com,Riddhima Chakraborty,Is Visa a Stock to Buy in 2023?,Visa's (V) top and bottom line witnessed more than 20% year-over-year growth in the last fiscal year despite the macro uncertainties. The stock has delivered steady returns over the past...,https://stocknews.com/news/v-mnsb-ezpw-amk-is-visa-a-stock-to-buy-in-2023/,2023-01-18 07:45:08+00:00,Visas (V) top and bottom line witnessed more than 20% year-over-year growth in the last fiscal year despite the macro uncertainties. The stock has delivered steady returns over the past months. Moreo… [+4119 chars],0,0.828,0.172,2023-01-16 05:00:00+00:00,219.8105233
Reuters,,Visa to invest $1 bln in Africa over 5 years to cash in on e-payments boom - Reuters,"Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> plans to invest $1 billion over the next five years in Africa to capitalize on the emerging economy's rapid growth in digital payments, the company said at the U.S.-Africa Lead…",https://www.reuters.com/technology/visa-invest-1-bln-africa-over-5-years-cash-e-payments-boom-2022-12-14/,2022-12-14 14:11:00+00:00,"Dec 14 (Reuters) - Visa Inc (V.N) plans to invest $1 billion over the next five years in Africa to capitalize on the emerging economy's rapid growth in digital payments, the company said at the U.S.-… [+1591 chars]",0,0.933,0.067,2022-12-12 05:00:00+00:00,207.5735782
Reuters,,Payments giant Visa names new CEO - Reuters,"Payments giant Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> on Thursday named insider Ryan McInerney as its new chief executive officer, effective Feb. 1.",https://www.reuters.com/business/payments-giant-visa-names-new-ceo-2022-11-17/,2022-11-17 21:27:00+00:00,"Nov 17 (Reuters) - Payments giant Visa Inc (V.N) on Thursday named insider Ryan McInerney as its new chief executive officer, effective Feb. 1.
McInerney, who currently serves as the president, repl… [+355 chars]",0,0.912,0.088,2022-11-14 05:00:00+00:00,201.1486635
Reuters,,Visa has terminated global debit card agreements with FTX - Reuters,"Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a>, the world's largest payments processor, said on Sunday it was severing its global credit card agreements with collapsed crypto exchange FTX.",https://www.reuters.com/technology/visa-has-terminated-global-debit-card-agreements-with-ftx-2022-11-14/,2022-11-14 01:29:00+00:00,"NEW YORK, Nov 13 (Reuters) - Visa Inc (V.N), the world's largest payments processor, said on Sunday it was severing its global credit card agreements with collapsed crypto exchange FTX.
""The situati… [+488 chars]",0.057,0.815,0.128,2022-11-07 05:00:00+00:00,195.5913595
Reuters,,Visa profit rises as consumer spending boosts payment volumes - Reuters,"Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> reported a rise in fourth-quarter profit on Tuesday, helped by a jump in payment volumes as consumer spending showed no signs of cooling even against the backdrop of a slowing …",https://www.reuters.com/business/finance/visa-profit-rises-consumer-spending-boosts-payment-volumes-2022-10-25/,2022-10-25 20:15:00+00:00,"Oct 25 (Reuters) - Visa Inc (V.N) reported a rise in fourth-quarter profit on Tuesday, helped by a jump in payment volumes as consumer spending showed no signs of cooling even against the backdrop of… [+781 chars]",0.059,0.863,0.078,2022-10-24 04:00:00+00:00,188.7764343
Reuters,,"Visa, Mastercard under fresh FTC investigation over debit card routing - WSJ - Reuters","The U.S. Federal Trade Commission is investigating whether Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> and Mastercard Inc's <a href=""https://www.reuters.com/companies/MA.N"" target=""_blank"">(MA.N)</a> security tokens rest…",https://www.reuters.com/business/finance/visa-mastercard-under-fresh-ftc-investigation-over-debit-card-routing-wsj-2022-10-17/,2022-10-17 18:13:00+00:00,"Oct 17 (Reuters) - The U.S. Federal Trade Commission is investigating whether Visa Inc (V.N) and Mastercard Inc's (MA.N) security tokens restrict debit card routing competition on online payments, th… [+981 chars]",0.076,0.853,0.071,2022-10-17 04:00:00+00:00,183.4408334
Reuters,,Visa to apply new code identifying sales at U.S. gun stores - Reuters,"Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a>, the world's largest payments processor, on Saturday said it will implement a new merchant category code for U.S. gun retailers, which will identify transactions at firearms st…",https://www.reuters.com/business/visa-apply-new-code-identifying-sales-us-gun-stores-2022-09-11/,2022-09-11 00:52:00+00:00,"Sept 10 (Reuters) - Visa Inc (V.N), the world's largest payments processor, on Saturday said it will implement a new merchant category code for U.S. gun retailers, which will identify transactions at… [+1817 chars]",0.072,0.928,0,2022-09-05 04:00:00+00:00,195.1771446
Reuters,,"NYC, California pension leaders seek payment codes for gun sellers - Reuters","Top New York City and California pension officials want payments processors Visa Inc, <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> Mastercard Inc <a href=""https://www.reuters.com/companies/MA.N"" target=""_blank"">(MA.N)</a> and Amer…",https://www.reuters.com/world/us/nyc-california-pension-leaders-seek-payment-codes-gun-sellers-2022-08-30/,2022-08-30 11:03:00+00:00,"New York City Comptroller Brad Lander speaks during a ""Defend Democracy"" rally, taking place on the first anniversary of the January 6, 2021 attack on the U.S. Capitol, in Brooklyn, New York, U.S., J… [+2450 chars]",0.084,0.916,0,2022-08-29 04:00:00+00:00,198.4810499
Reuters,,Visa tokens overtake payments giant's physical cards in circulation - Reuters,"Payments giant Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> said on Wednesday it has issued over 4 billion network tokens worldwide through its security technology Visa Token Service (VTS), outpacing the total number of i…",https://www.reuters.com/business/finance/visa-tokens-overtake-payments-giants-physical-cards-circulation-2022-08-24/,2022-08-24 14:14:00+00:00,"Aug 24 (Reuters) - Payments giant Visa Inc (V.N) said on Wednesday it has issued over 4 billion network tokens worldwide through its security technology Visa Token Service (VTS), outpacing the total … [+2026 chars]",0,0.928,0.072,2022-08-22 04:00:00+00:00,207.0514838
Reuters,,Visa quarterly profit jumps on unrestrained consumer spending - Reuters.com,"Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> reported a 33% rise in third-quarter profit on Tuesday, as the world's largest payments processor gained from robust consumer spending that shows no signs of a pullback despite…",https://www.reuters.com/business/finance/visa-quarterly-profit-jumps-unrestrained-consumer-spending-2022-07-26/,2022-07-26 20:21:00+00:00,"July 26 (Reuters) - Visa Inc (V.N) reported a 33% rise in third-quarter profit on Tuesday, as the world's largest payments processor gained from robust consumer spending that shows no signs of a pull… [+1231 chars]",0.056,0.742,0.202,2022-07-25 04:00:00+00:00,211.2534721
Reuters,,"Kenya's Safaricom, Visa offer virtual card for global transactions - Reuters","Kenya's biggest telecoms operator Safaricom <a href=""https://www.reuters.com/companies/SCOM.NR"" target=""_blank"">(SCOM.NR)</a> has launched a virtual payment card with Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a>, offering…",https://www.reuters.com/technology/kenyas-safaricom-visa-offer-virtual-card-global-transactions-2022-06-02/,2022-06-02 16:50:00+00:00,"NANYUKI, Kenya, June 2 (Reuters) - Kenya's biggest telecoms operator Safaricom (SCOM.NR) has launched a virtual payment card with Visa Inc (V.N), offering the more than 30 million users of its M-Pesa… [+1683 chars]",0,0.952,0.048,2022-05-30 04:00:00+00:00,207.118595
Reuters,,"Futures rebound from tech selloff as Microsoft, Visa gain - Reuters","U.S. stock index futures jumped on Wednesday on strong earnings updates from Microsoft and Visa, following a brutal selloff in the previous session that sent the tech-heavy Nasdaq to its lowest close since December 2020.",https://www.reuters.com/business/futures-rebound-tech-selloff-microsoft-visa-gain-2022-04-27/,2022-04-27 11:32:00+00:00,"April 27 (Reuters) - U.S. stock index futures jumped on Wednesday on strong earnings updates from Microsoft and Visa, following a brutal selloff in the previous session that sent the tech-heavy Nasda… [+2574 chars]",0.11,0.802,0.088,2022-04-25 04:00:00+00:00,202.7638264
Reuters,,Visa profit tops estimates on consumer spending rebound - Reuters.com,"Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> surpassed market estimates for second-quarter profit on Tuesday, driven by a rebound in consumer spending after COVID-19 restrictions eased around the world.",https://www.reuters.com/business/finance/visa-profit-jumps-21-consumer-spending-rebounds-2022-04-26/,2022-04-26 20:17:00+00:00,"April 26 (Reuters) - Visa Inc (V.N) surpassed market estimates for second-quarter profit on Tuesday, driven by a rebound in consumer spending after COVID-19 restrictions eased around the world.
Cons… [+877 chars]",0,0.846,0.154,2022-04-25 04:00:00+00:00,202.7638264
Reuters,,"Explainer: China UnionPay, Russia's potential payments backstop - Reuters.com","Several Russian banks plan to issue payment cards that use the network of China UnionPay as well as that of home-grown payment system Mir, after Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> and MasterCard Inc <a href=""htt…",https://www.reuters.com/business/finance/china-unionpay-russias-potential-payments-backstop-2022-04-21/,2022-04-21 07:23:00+00:00,"HONG KONG, April 21 (Reuters) - Several Russian banks plan to issue payment cards that use the network of China UnionPay as well as that of home-grown payment system Mir, after Visa Inc (V.N) and Mas… [+4217 chars]",0,0.945,0.055,2022-04-18 04:00:00+00:00,207.9913426
Reuters,,"Russian banks may issue cards with China's UnionPay as Visa, Mastercard cut links - Reuters","Credit cards issued by Russian banks using the Visa and Mastercard payment systems will stop functioning overseas after March 9, Russia's central bank said on Sunday, adding that some local lenders would look to use China's UnionPay system instead.",https://www.reuters.com/markets/europe/russian-banks-may-issue-cards-with-chinas-unionpay-visa-mastercard-cut-links-2022-03-06/,2022-03-06 13:03:00+00:00,"LONDON, March 6 (Reuters) - Credit cards issued by Russian banks using the Visa and Mastercard payment systems will stop functioning overseas after March 9, Russia's central bank said on Sunday, addi… [+1377 chars]",0.063,0.862,0.075,2022-02-28 05:00:00+00:00,212.2460754
Reuters,,Visa to cut consumer credit fees for U.S. small businesses by 10% - document - Reuters,"Visa Inc <a href=""https://www.reuters.com/companies/V.N"" target=""_blank"">(V.N)</a> will lower consumer credit interchange rates for small businesses in the United States by 10%, effective next month, to help merchants recovering from the COVID-19 pandemic, ac…",https://www.reuters.com/business/finance/visa-cut-consumer-credit-fees-us-small-businesses-by-10-document-2022-03-03/,2022-03-03 21:54:00+00:00,"March 3 (Reuters) - Visa Inc (V.N) will lower consumer credit interchange rates for small businesses in the United States by 10%, effective next month, to help merchants recovering from the COVID-19 … [+1217 chars]",0.054,0.668,0.277,2022-02-28 05:00:00+00:00,212.2460754
Reuters,,"Chip stocks, Visa, AppLovin, DoorDash, AutoNation - Reuters","U.S. stock index futures slid on Thursday after reports of clashes in eastern Ukraine kept investors on edge, while weekly jobless claims data was awaited for clues on a labor market recovery.",https://www.reuters.com/markets/asia/chip-stocks-visa-applovin-doordash-autonation-2022-02-17/,2022-02-17 13:56:00+00:00,"U.S. stock index futures slid on Thursday after reports of clashes in eastern Ukraine kept investors on edge, while weekly jobless claims data was awaited for clues on a labor market recovery.
At 8:… [+3122 chars]",0.031,0.969,0,2022-02-14 05:00:00+00:00,219.4093877
